Target_an4_v1,Ensemble_librispeech_v1,Ensemble_ted_v1
37,52,47
36,51,44
39,51,48
37,49,43
38,44,40
38,43,37
38,40,33
38,42,33
38,42,34
38,37,29
38,35,32
36,34,34
36,38,28
37,31,27
37,37,24
37,37,24
37,29,22
37,28,29
37,24,25
37,30,29
37,31,25
37,31,23
37,33,20
38,28,20
37,21,23
37,20,22
38,27,23
37,19,22
38,31,25
39,18,18
37,22,24
38,28,21
38,20,17
37,20,14
37,21,15
37,21,15
37,23,12
37,17,11
37,20,25
38,14,19
37,17,15
38,13,17
37,16,20
38,10,15
37,16,15
37,12,10
37,21,10
37,13,8
35,22,11
36,16,8
36,14,8
36,10,12
36,11,8
36,7,15
36,11,16
36,12,19
36,12,10
36,14,14
36,11,7
36,17,10
36,13,5
36,16,10
36,16,5
36,11,6
36,13,6
36,17,10
36,15,5
36,7,3
36,10,9
36,12,3
36,6,6
36,12,15
36,8,6
36,10,7
35,10,4
36,8,6
35,8,10
36,4,9
36,8,17
37,6,14
37,7,16
37,6,13
36,9,12
36,9,5
36,4,10
36,5,9
37,7,3
35,13,3
36,5,3
37,11,3
35,8,1
36,15,6
36,7,2
35,8,1
36,9,4
36,8,0
36,13,3
36,16,3
34,5,0
35,5,5
34,6,5
34,14,7
35,3,2
36,10,4
35,5,2
34,7,4
35,8,1
36,5,4
36,9,7
36,5,3
36,9,3
37,5,0
36,4,2
36,6,3
36,1,7
36,4,14
36,3,9
36,5,8
36,2,8
36,2,10
36,2,13
36,2,7
37,4,4
36,12,0
37,6,1
37,9,2
37,9,1
36,8,4
36,6,1
36,4,2
37,4,0
37,8,2
37,5,0
35,3,0
37,10,0
36,5,1
37,7,1
36,6,2
36,3,0
36,6,1
37,9,0
36,1,0
37,9,1
35,9,1
37,6,2
36,6,4
35,6,1
36,3,0
36,6,3
35,3,4
35,3,10
36,1,8
36,4,2
37,4,9
35,5,5
37,6,1
37,5,0
35,10,1
33,8,0
36,6,1
35,9,1
36,4,2
35,3,8
36,3,2
35,4,5
34,3,2
36,1,6
33,0,7
35,0,12
33,1,6
36,6,4
34,9,1
35,6,0
39,6,0
37,3,0
36,7,6
36,1,3
36,4,5
36,5,4
35,7,0
36,7,0
36,6,0
38,8,0
37,7,0
34,4,0
37,1,0
35,2,1
36,2,0
35,2,0
35,2,3
35,1,1
38,2,1
36,4,1
38,5,0
37,3,0
38,6,0
37,4,0
36,3,0
38,3,0
37,3,0
36,2,0
35,4,0
36,3,0
35,5,1
34,4,2
36,6,2
34,8,0
34,1,1
34,3,3
34,1,0
34,2,0
34,2,0
35,3,0
33,2,0
35,2,0
36,3,1
37,1,4
37,0,1
38,1,7
37,1,7
36,2,9
37,1,4
37,5,5
35,1,0
36,0,5
37,0,8
35,0,9
36,0,7
35,0,2
35,0,3
37,0,8
37,0,4
35,0,2
34,0,4
34,0,2
36,0,4
35,0,4
35,0,0
34,0,1
34,0,1
35,0,2
35,0,0
35,2,0
35,9,0
35,3,0
34,16,0
35,1,0
35,1,0
34,7,0
34,3,0
