Target_an4_v1,Ensemble_librispeech_v1,Ensemble_ted_v1
31,53,52
32,50,47
31,51,41
31,46,40
31,50,41
30,40,38
30,43,37
31,42,31
31,38,33
31,35,34
31,34,29
31,38,30
30,37,25
31,36,27
32,28,28
32,34,26
32,34,22
31,28,28
32,38,27
31,26,23
31,35,27
31,27,24
31,22,23
31,23,29
31,27,20
31,23,18
31,23,16
31,27,21
31,24,14
33,17,18
32,19,14
31,16,17
32,18,16
31,24,15
32,17,16
32,17,15
32,18,13
32,19,17
32,15,12
32,17,12
32,18,12
32,18,12
32,14,9
32,12,8
32,15,11
32,15,12
32,16,14
32,17,11
32,9,10
32,13,15
32,20,9
32,14,7
32,17,6
32,17,7
33,16,7
33,8,10
33,13,12
33,13,7
33,12,11
33,13,10
33,9,10
32,8,8
32,10,10
32,15,10
33,9,7
32,17,4
33,5,5
33,13,7
32,6,4
33,13,3
33,8,2
33,5,6
32,3,7
32,5,8
33,4,12
32,5,9
32,6,6
32,4,6
32,10,5
32,5,2
32,10,3
32,10,2
32,10,4
31,9,2
31,6,0
31,4,2
31,4,6
31,4,2
32,2,6
31,2,5
31,2,9
31,2,8
31,0,10
31,1,11
31,1,8
31,6,6
31,6,1
32,6,0
31,6,1
31,6,0
31,6,0
32,4,0
32,6,0
32,5,0
32,7,0
32,2,0
32,4,3
32,7,2
32,6,1
32,6,0
32,4,1
31,3,1
31,1,0
32,4,5
32,0,4
31,0,7
31,0,5
31,0,9
31,0,2
31,0,10
31,1,2
31,5,6
32,5,1
32,7,0
32,7,0
32,4,0
32,3,0
32,6,0
32,5,0
32,6,0
32,7,0
32,6,0
31,8,0
32,4,0
32,1,0
32,2,3
32,7,2
31,4,0
32,3,0
32,3,0
31,5,0
32,1,0
31,0,4
31,0,7
31,0,3
31,0,3
31,0,2
31,0,5
31,0,8
31,0,3
31,0,7
31,0,3
31,0,3
31,0,3
32,0,4
31,0,0
32,0,2
31,1,2
31,4,0
31,6,0
31,4,0
31,4,0
31,11,0
31,6,0
31,7,0
32,2,0
31,2,0
32,2,0
31,6,0
30,5,0
31,4,0
32,4,0
30,3,0
31,4,0
31,0,0
31,4,1
31,5,0
30,0,0
32,2,2
31,1,0
30,4,0
31,3,0
32,8,0
31,1,0
32,7,0
32,1,0
32,1,1
32,4,3
32,2,0
31,3,0
30,2,0
31,2,0
31,0,0
32,1,9
30,0,8
31,0,1
32,0,2
32,0,6
30,0,3
31,0,6
31,0,0
31,0,1
32,0,2
31,0,2
32,0,1
31,0,5
31,0,2
31,0,0
31,0,0
31,0,1
31,0,3
32,0,0
31,0,2
32,0,0
32,0,1
31,1,0
32,8,0
31,4,0
32,8,0
32,3,0
31,6,0
30,5,0
31,2,0
31,2,0
32,5,0
32,6,0
32,8,0
31,2,0
31,3,0
31,3,0
32,8,0
32,0,0
32,3,0
32,5,0
32,0,0
32,2,0
32,0,0
32,0,0
31,0,0
31,3,0
32,1,0
32,4,0
32,0,0
32,7,0
31,4,0
31,3,0
32,1,0
32,1,0
31,0,0
31,0,0
