Target_an4_v2,Ensemble_librispeech_v2,Ensemble_ted_v2
33,48,41
31,39,39
33,40,38
33,48,39
33,44,35
33,46,36
32,38,35
34,41,34
32,45,27
35,41,28
33,38,38
33,36,35
30,37,26
33,39,30
31,36,30
31,31,28
33,38,32
32,32,25
33,31,30
33,38,34
33,31,22
32,33,18
33,41,19
33,38,20
33,35,19
32,25,21
34,30,22
32,30,19
32,27,21
32,26,18
31,26,17
34,28,20
32,24,16
31,28,16
31,26,16
32,21,22
32,35,17
34,28,19
34,22,15
32,26,19
34,27,14
34,28,17
32,23,16
31,26,13
33,27,15
33,24,17
34,22,5
32,19,5
32,26,16
33,19,14
31,21,10
32,20,13
31,13,10
30,18,20
31,14,13
33,15,13
33,12,12
31,13,13
32,24,13
35,22,5
32,15,9
35,13,8
32,11,9
36,10,16
34,7,11
33,17,12
35,15,12
33,12,5
34,12,5
33,21,7
34,17,3
32,15,3
31,12,3
32,12,4
33,10,10
31,11,8
31,21,9
32,12,7
32,7,12
33,7,8
32,5,8
31,5,7
31,5,3
30,13,7
32,6,2
33,12,1
31,12,5
37,16,3
34,20,4
34,15,3
33,16,5
36,10,7
34,9,7
36,13,6
35,8,13
37,8,10
34,14,9
37,10,9
34,6,8
36,12,10
35,6,8
37,4,6
36,6,16
38,6,8
35,8,6
35,10,2
34,10,5
33,10,8
33,11,6
32,6,6
34,10,2
33,4,0
34,12,2
33,7,6
34,9,4
35,6,8
34,4,11
34,1,7
35,5,6
35,5,5
37,8,8
35,7,1
35,15,1
34,9,1
34,9,2
36,6,4
34,5,4
34,2,3
36,6,2
34,4,1
34,10,1
34,10,0
33,12,1
35,1,0
36,9,3
34,0,1
35,4,6
34,5,4
35,8,5
35,6,5
38,9,4
35,7,7
35,7,8
37,6,2
37,10,2
35,11,1
35,8,1
35,7,1
38,6,1
36,9,5
36,5,2
34,6,6
34,2,5
34,2,4
35,3,2
35,6,0
35,2,0
33,6,0
35,13,0
33,11,1
37,9,0
36,15,0
34,12,0
36,7,1
35,8,3
37,8,1
36,8,1
37,2,1
38,3,1
38,2,2
36,0,4
37,2,2
36,2,3
37,2,7
35,2,2
36,3,6
34,1,6
34,0,2
34,1,4
34,1,4
36,0,7
35,4,4
34,4,3
36,4,1
36,6,0
36,8,1
37,6,4
37,8,0
37,7,0
36,6,0
36,3,0
37,8,1
36,3,0
37,15,0
37,2,0
34,7,0
35,5,1
36,3,2
34,5,1
34,4,0
34,0,0
34,0,8
34,0,7
35,1,3
35,1,3
35,3,0
35,2,2
36,2,1
34,7,0
35,4,0
35,4,1
35,1,0
35,4,0
37,5,0
37,8,1
36,0,1
34,3,4
34,2,4
32,1,4
34,3,2
33,2,1
34,1,0
33,3,1
33,7,0
32,5,0
34,4,0
31,5,0
32,6,0
32,4,0
30,3,0
31,4,2
32,2,4
33,1,4
34,0,2
34,2,4
34,0,2
31,0,3
32,0,5
32,0,3
33,1,5
33,2,0
32,9,1
31,2,1
33,4,0
32,0,0
32,7,0
32,3,0
33,5,0
32,6,0
33,5,0
