Target_an4_v2,Ensemble_librispeech_v2,Ensemble_ted_v2
35,61,59
36,58,54
34,55,51
35,47,45
34,50,48
38,44,45
38,47,42
39,45,40
36,49,39
37,44,37
38,42,40
36,34,31
34,38,31
36,32,23
36,41,27
36,33,25
36,34,27
37,32,24
37,31,34
38,30,33
36,34,21
39,37,20
37,33,21
39,29,24
37,23,23
36,25,22
38,31,16
37,20,16
37,32,25
39,26,11
36,21,10
38,21,15
39,29,22
38,31,17
37,26,13
37,21,18
41,15,19
38,17,14
35,18,12
38,23,12
38,24,8
38,19,11
38,23,12
39,16,8
39,19,15
39,15,8
39,15,6
39,20,7
39,21,7
36,12,7
38,10,9
36,10,8
35,8,7
37,17,14
38,25,7
38,15,6
37,12,8
36,15,6
36,19,7
37,12,6
38,13,9
38,11,4
38,15,5
39,14,8
40,15,1
36,9,2
39,10,2
37,12,2
38,6,3
38,16,7
38,10,2
34,13,0
38,15,3
33,12,6
36,9,6
35,6,7
35,8,5
36,9,4
37,14,5
38,17,4
35,19,2
37,10,5
39,8,4
36,4,3
39,9,1
36,9,3
35,6,1
37,10,4
33,10,0
39,7,1
36,12,3
36,3,0
36,11,2
35,2,3
35,7,9
37,1,6
35,3,8
36,2,7
36,1,4
38,2,5
37,5,2
35,4,1
37,4,9
35,2,7
36,1,2
35,4,3
37,4,1
39,2,0
35,3,1
40,6,1
40,6,2
37,2,0
38,5,0
39,7,0
38,7,1
40,11,0
38,4,0
40,8,1
38,9,0
38,8,0
39,8,1
39,5,1
41,1,0
40,8,3
40,7,3
39,4,3
37,7,3
40,0,4
37,0,3
38,0,2
37,0,7
40,0,5
38,0,6
41,0,5
36,1,3
38,3,2
42,3,0
37,12,0
37,8,0
39,6,0
39,3,1
39,5,1
38,3,0
36,6,0
37,5,0
40,2,0
37,5,0
39,4,0
41,3,0
40,6,0
38,8,0
37,2,0
36,2,0
39,4,1
36,6,1
37,2,3
39,6,8
37,1,2
37,2,5
37,1,4
38,0,0
39,0,3
39,0,3
38,0,2
40,0,1
38,0,0
40,0,3
37,1,9
39,1,0
36,6,0
37,4,0
36,8,0
36,11,0
38,7,0
38,9,0
37,4,0
38,5,0
38,3,0
38,1,0
40,1,0
40,5,0
37,3,0
40,1,1
41,6,2
37,2,2
37,2,0
34,8,0
38,1,1
39,2,0
37,4,2
39,3,2
38,1,0
39,1,0
40,3,1
40,5,0
38,4,0
38,5,0
36,5,0
36,4,0
37,6,0
33,3,3
34,0,5
34,0,5
33,0,4
32,0,6
34,4,2
33,1,0
32,5,0
32,5,0
34,1,0
35,5,0
35,6,0
33,1,0
34,2,0
35,4,0
34,0,0
34,2,0
38,6,0
37,0,0
35,0,2
38,1,3
38,0,2
37,0,4
38,0,3
35,0,4
36,0,1
38,0,0
38,1,2
37,1,2
39,3,1
38,2,0
36,1,0
37,3,0
36,2,0
37,2,0
37,4,0
37,7,0
38,1,0
36,2,0
35,1,0
38,1,0
36,4,0
36,4,0
36,3,0
37,1,0
39,1,0
38,2,0
38,1,0
38,2,1
38,3,2
