Target_librispeech_v1,Ensemble_an4_v1,Ensemble_ted_v1
34,31,30
33,31,31
30,31,27
31,30,23
31,29,24
30,30,19
30,28,14
29,27,15
31,26,18
32,27,17
30,26,15
30,25,14
33,26,13
32,27,9
30,24,14
32,23,16
30,24,10
31,25,15
31,25,12
34,25,10
31,26,10
33,25,9
33,26,10
32,23,9
31,26,9
32,21,8
34,23,5
29,21,7
31,23,5
31,22,10
31,21,5
30,18,7
30,22,6
32,19,5
31,20,5
31,19,5
30,18,7
31,15,3
32,21,1
30,17,1
31,22,3
29,16,2
31,23,0
28,17,0
29,22,1
30,17,1
28,19,0
32,15,0
31,20,2
32,14,2
34,15,0
31,13,5
30,13,3
29,14,2
28,13,2
30,13,1
33,12,3
31,14,0
30,14,0
31,16,0
31,14,1
29,13,0
31,12,0
29,12,0
30,11,1
29,12,1
30,10,4
30,9,5
31,7,5
29,7,2
32,8,1
30,11,4
31,11,2
30,11,1
29,12,0
31,13,0
32,13,0
31,12,0
31,13,0
30,12,0
32,11,0
30,10,1
32,8,2
30,8,4
30,8,4
30,8,2
31,9,3
30,6,2
28,9,0
30,11,1
32,10,1
31,9,1
30,10,0
29,10,0
32,11,0
30,10,0
30,10,0
32,8,0
32,9,0
32,9,0
32,9,0
31,8,0
32,9,0
31,7,0
31,10,0
32,7,0
31,9,0
31,6,0
30,11,0
32,6,0
31,11,0
31,6,0
31,10,0
31,6,0
30,9,0
32,6,0
30,10,0
30,6,1
32,8,1
31,5,1
31,8,4
32,6,1
31,6,3
33,5,0
30,6,3
32,8,3
32,3,0
31,8,2
31,6,0
32,8,0
32,10,0
32,7,0
32,7,0
33,7,0
31,7,0
33,7,0
31,7,0
33,6,0
31,7,0
33,6,0
31,7,0
33,5,0
31,7,0
32,5,0
31,7,0
33,5,0
31,7,0
33,5,0
29,5,1
32,6,2
32,4,2
33,6,1
30,4,0
29,6,1
30,4,2
30,6,1
31,4,0
29,6,0
30,4,0
30,6,0
29,6,0
30,5,1
30,6,0
30,5,1
31,4,0
29,6,1
30,3,0
30,5,0
31,4,0
30,8,0
30,7,0
29,8,0
29,6,0
29,6,0
30,6,0
30,6,0
30,5,0
30,6,0
30,5,0
30,7,0
31,4,0
29,7,0
30,4,0
30,7,0
31,5,0
30,7,0
31,5,0
29,6,0
32,4,0
29,6,0
31,5,0
30,6,0
31,5,0
30,6,0
31,5,0
30,6,0
31,5,0
30,7,0
31,5,0
30,6,2
32,3,0
32,6,4
31,2,0
33,6,3
32,5,4
28,3,1
31,4,3
31,4,1
31,3,1
32,3,1
31,2,2
31,4,1
31,3,2
28,5,0
28,5,0
30,6,0
29,6,0
29,6,0
30,6,0
32,6,0
31,5,0
32,6,0
29,5,0
31,4,0
33,5,0
32,4,0
32,5,0
32,5,0
30,5,0
32,5,0
30,5,0
33,5,0
31,5,0
32,5,0
31,4,1
31,5,0
31,4,0
31,5,2
33,3,6
32,1,4
31,2,2
30,1,2
29,2,1
30,2,4
29,2,1
28,3,2
30,2,1
29,2,0
31,2,2
30,3,1
