Target_librispeech_v1,Ensemble_an4_v1,Ensemble_ted_v1
32,30,32
33,30,34
31,28,30
30,28,29
30,28,28
31,29,30
31,28,24
30,26,29
31,27,26
31,24,25
30,28,21
32,25,20
30,25,20
30,24,20
31,25,19
32,24,21
31,26,17
31,24,22
32,25,20
33,23,18
31,25,22
31,22,12
31,24,18
32,20,16
32,23,20
32,20,15
33,21,21
32,19,9
32,20,16
32,19,13
31,21,12
33,20,9
28,21,8
29,21,6
31,19,8
31,20,10
31,18,15
32,19,14
29,18,9
31,19,11
32,18,11
31,20,8
30,19,5
29,18,10
31,17,5
31,19,10
34,17,12
32,17,13
33,15,10
31,15,8
29,15,9
30,18,5
30,17,10
30,16,6
29,16,8
29,15,6
32,18,8
31,19,6
32,18,2
32,19,4
31,16,2
31,20,1
31,18,5
31,17,2
31,20,6
31,15,8
30,15,7
29,16,3
29,17,7
31,15,6
29,18,6
31,17,5
30,18,2
29,18,1
29,17,3
30,16,4
30,17,6
30,15,2
31,17,2
31,16,2
31,17,3
31,17,0
30,18,0
30,16,0
31,18,0
31,15,0
31,16,0
31,16,0
30,16,0
31,14,0
30,16,1
31,14,1
31,14,1
31,12,1
30,16,3
31,13,3
29,16,0
31,15,5
32,14,4
29,11,3
31,14,4
31,11,2
30,15,3
30,15,2
31,15,2
31,14,0
32,18,0
30,14,1
30,14,0
31,15,0
31,15,0
31,15,0
30,15,0
30,15,0
30,14,0
31,12,0
30,14,0
30,13,0
31,16,1
32,10,5
31,8,5
30,9,3
31,10,4
29,9,3
31,12,2
30,9,4
31,11,1
32,13,2
32,12,0
31,15,1
31,13,0
31,13,0
33,12,0
31,13,0
31,11,0
31,13,0
31,11,0
30,15,0
32,10,0
31,14,0
32,12,0
32,11,0
31,12,0
32,10,0
32,10,0
33,9,2
31,9,2
31,9,2
33,7,3
33,7,4
34,6,6
34,7,7
29,7,2
33,8,5
31,5,0
34,9,1
30,6,1
32,12,3
32,6,0
30,11,0
31,5,0
33,11,0
30,4,1
33,10,0
29,8,0
31,10,0
30,7,0
31,7,0
30,5,0
31,7,2
31,6,1
31,9,0
29,5,0
33,7,1
31,5,2
31,6,3
30,4,1
29,6,1
30,5,3
30,4,1
30,8,2
29,6,2
30,8,3
29,5,0
31,13,0
30,5,0
30,10,0
30,5,0
30,10,0
30,6,0
30,10,0
30,4,0
30,9,0
30,5,0
30,7,0
30,5,0
31,8,0
30,6,0
30,6,0
30,7,0
29,8,0
29,5,0
30,7,1
30,4,3
30,4,5
29,3,1
29,2,3
29,3,1
29,4,1
30,3,3
30,5,1
31,4,0
31,5,1
30,7,2
31,5,0
30,7,1
32,5,0
30,10,0
33,4,0
29,6,0
33,4,0
29,6,0
33,3,0
29,5,0
33,5,0
31,7,0
31,4,0
31,6,0
32,4,0
30,5,0
30,4,0
30,5,0
33,5,0
32,5,0
32,5,0
32,4,0
34,4,0
31,4,0
34,5,0
30,6,0
32,6,0
31,4,5
31,2,2
29,2,11
31,2,1
29,2,2
31,2,2
32,3,5
30,1,1
30,4,3
