Target_librispeech_v2,Ensemble_an4_v2,Ensemble_ted_v2
54,33,55
56,30,53
54,33,44
55,29,40
61,31,45
55,31,41
59,28,37
57,29,36
59,27,31
61,28,34
62,28,33
59,27,37
60,25,28
57,23,27
58,26,24
55,24,23
51,23,23
53,24,22
52,23,31
56,25,27
56,23,19
54,24,24
54,23,24
55,24,20
52,20,21
47,18,16
51,18,20
55,19,17
52,20,13
57,20,15
54,19,18
54,20,10
55,20,20
55,20,20
61,21,9
61,19,10
54,21,15
56,19,18
57,18,11
58,19,7
55,16,6
62,20,12
56,17,13
58,17,9
54,18,8
57,17,8
56,16,12
50,18,7
55,19,9
53,14,13
52,16,6
54,14,7
62,14,12
52,17,8
52,15,9
54,14,5
55,15,9
52,17,4
51,17,3
51,13,1
50,17,3
54,17,2
52,17,4
55,16,1
49,16,2
50,15,3
51,15,3
50,19,6
52,14,7
48,13,4
53,15,1
49,17,4
49,19,2
48,16,1
50,18,1
51,15,1
56,15,2
52,16,6
50,13,10
48,14,6
49,12,10
52,12,6
53,12,5
56,12,3
52,12,6
54,11,13
56,11,13
53,11,9
57,13,4
61,11,8
52,12,5
52,13,6
51,13,2
55,11,3
53,16,1
55,12,0
56,21,1
52,15,3
54,17,0
55,14,0
54,13,0
59,15,2
51,14,4
52,11,3
52,12,6
57,10,2
54,10,5
51,11,3
51,11,3
56,11,5
52,11,8
52,10,1
51,12,1
44,13,5
46,9,0
51,15,0
47,14,1
53,9,0
49,12,0
55,10,0
53,14,2
52,9,8
50,8,6
53,7,7
51,7,6
57,7,4
51,8,10
52,8,5
50,7,9
54,7,2
51,11,3
48,8,2
49,12,2
52,11,0
54,12,0
52,12,0
50,18,0
50,11,0
46,12,0
50,13,2
51,8,6
54,7,10
50,8,5
51,6,5
54,8,4
58,5,5
55,8,1
53,7,0
51,11,6
45,9,8
46,7,4
50,8,4
49,7,4
50,8,2
55,10,4
55,7,8
58,7,5
59,7,9
54,6,1
54,9,1
50,9,6
50,10,1
50,10,2
58,8,3
53,8,1
48,7,1
50,6,0
51,12,0
51,11,0
49,14,0
50,14,0
48,14,0
48,12,0
51,18,0
49,7,0
53,15,0
49,11,0
51,13,0
52,11,0
52,10,0
53,8,0
44,10,0
54,12,0
49,9,0
51,9,0
51,10,0
51,9,0
51,10,0
49,8,0
56,9,0
49,11,0
56,12,0
49,10,0
50,9,6
52,6,4
50,5,9
55,3,5
51,6,3
51,6,8
52,3,7
54,4,4
58,5,5
51,4,2
51,6,0
47,11,3
49,7,2
47,8,4
52,5,4
53,6,2
50,5,1
46,9,1
49,7,1
48,8,4
49,7,6
46,7,0
48,8,1
48,8,1
46,9,2
49,5,0
50,11,0
47,6,0
50,11,0
48,9,0
52,13,0
49,10,1
53,9,3
51,4,5
51,7,4
49,3,6
47,4,4
46,3,3
51,5,5
48,5,14
51,2,1
53,4,9
51,5,1
50,5,5
49,5,4
54,5,3
52,5,0
59,8,0
59,10,0
61,9,0
59,8,1
55,8,1
50,4,4
53,4,2
52,3,4
51,5,1
50,7,1
