Target_librispeech_v2,Ensemble_an4_v2,Ensemble_ted_v2
63,34,56
61,35,49
63,37,49
63,39,45
60,36,37
60,30,35
60,28,41
64,32,42
62,30,32
62,33,34
62,28,29
62,29,35
59,28,23
61,27,26
56,25,32
59,25,28
57,26,24
57,25,20
59,26,35
61,23,21
59,24,23
56,27,17
55,23,19
58,23,14
56,22,16
55,18,16
60,19,16
61,20,17
55,20,16
54,20,13
62,18,14
56,18,13
59,20,10
55,18,5
55,19,8
59,20,6
64,16,7
58,15,8
56,14,9
57,14,5
61,15,9
58,16,10
55,15,9
57,19,9
55,18,6
59,17,4
59,17,8
59,15,5
57,18,5
57,15,11
56,14,7
62,13,7
55,14,3
59,11,6
56,15,6
60,23,11
58,14,2
57,15,3
62,15,4
54,14,1
58,14,1
56,13,4
60,12,6
61,11,3
60,12,6
54,14,7
64,14,2
61,14,2
59,15,2
62,15,4
52,11,4
58,9,2
54,9,5
60,10,5
56,11,10
57,15,6
57,11,4
58,12,3
57,12,3
58,12,4
60,13,3
59,8,9
54,7,8
57,7,4
54,8,4
58,9,1
56,12,2
54,17,0
52,17,0
52,16,0
50,16,0
51,16,2
51,10,0
56,12,1
53,13,1
56,12,1
57,10,3
54,9,1
58,8,2
56,13,4
59,13,3
59,11,6
59,8,3
58,7,4
58,7,0
60,15,2
60,11,0
57,14,1
56,8,0
54,11,0
57,14,0
57,12,0
57,13,0
59,12,0
57,9,0
58,9,0
54,10,0
53,13,0
57,10,0
56,10,0
54,9,0
55,9,0
53,12,0
56,10,0
53,13,0
54,9,2
58,9,4
51,7,9
55,6,3
55,8,5
55,8,10
56,7,3
55,7,2
57,8,5
57,6,1
52,7,2
57,8,2
61,8,3
56,7,4
58,6,3
58,7,2
58,6,4
62,8,2
53,9,4
58,6,4
59,4,4
57,6,0
59,11,1
57,10,0
59,10,1
58,7,0
58,14,1
56,12,0
57,15,0
56,9,0
59,9,0
55,10,0
57,8,0
59,8,0
57,8,0
56,9,0
55,9,0
55,11,0
56,8,0
53,7,0
55,7,0
56,8,1
52,5,4
55,5,8
55,4,5
52,5,6
56,6,4
56,5,0
52,10,0
52,6,1
58,7,3
53,6,3
56,5,3
58,4,1
53,5,1
49,5,0
54,7,3
57,8,2
54,8,3
51,5,1
59,8,3
50,4,1
57,8,5
51,5,4
51,4,4
55,3,0
50,5,4
46,3,3
51,4,4
50,4,2
48,5,5
47,4,3
51,5,0
49,8,5
48,4,3
56,8,0
48,7,0
51,10,0
49,12,0
49,10,0
50,10,0
46,8,0
45,5,0
46,8,0
47,10,0
49,9,0
48,4,0
49,11,0
49,7,0
52,10,0
48,5,0
49,11,0
47,6,0
46,6,0
54,10,0
50,7,0
52,9,0
49,7,0
52,5,0
56,8,0
52,6,0
47,7,0
55,6,0
53,8,0
53,7,0
51,4,3
55,4,2
53,3,7
51,3,2
51,2,4
50,4,3
49,2,4
44,3,2
51,4,4
45,5,0
50,7,3
41,4,1
41,4,2
49,5,1
49,3,0
46,6,0
49,5,0
46,9,0
44,6,0
47,9,0
