Target_librispeech_v2,Ensemble_an4_v2,Ensemble_ted_v2
61,35,56
60,37,50
61,40,45
63,36,47
62,33,49
62,35,44
61,37,35
61,36,37
62,38,33
62,31,29
59,35,37
62,33,35
60,31,26
60,28,32
60,29,28
57,27,27
56,27,26
63,32,22
61,27,16
60,28,20
56,28,22
55,25,13
57,22,20
58,21,22
59,21,14
56,24,16
57,20,14
57,22,18
55,24,14
54,21,19
55,24,10
55,20,11
58,26,14
57,22,19
58,19,18
58,19,20
59,17,17
57,19,11
54,20,15
58,20,9
59,21,8
56,21,8
56,18,4
53,25,4
56,22,5
53,28,7
55,15,5
56,14,8
53,15,11
56,15,6
50,16,9
55,17,7
46,15,4
50,18,5
52,17,3
55,17,6
50,19,4
53,15,10
48,13,10
53,11,5
49,17,4
47,17,8
48,13,10
50,11,4
51,18,10
50,11,3
47,14,9
47,13,6
54,10,4
53,16,4
52,16,2
57,14,2
53,15,3
53,13,5
55,11,3
57,15,3
49,16,0
54,17,0
56,16,0
50,18,1
49,12,2
48,10,2
55,10,2
53,12,5
52,7,7
54,9,8
56,8,8
55,9,7
60,7,4
52,8,1
53,13,1
54,16,1
53,14,0
54,14,1
54,13,1
56,18,5
55,9,4
52,9,5
52,7,6
56,6,3
54,10,4
55,6,6
56,10,5
56,8,4
56,10,0
57,15,3
57,10,8
58,8,2
61,12,6
54,8,4
53,7,2
53,12,3
55,8,2
53,8,3
60,9,5
59,6,1
54,9,0
50,8,1
55,8,0
56,15,0
55,11,0
52,11,0
52,11,1
55,7,3
57,8,5
56,8,1
56,9,2
56,7,1
57,7,4
56,6,1
57,8,0
56,10,3
55,7,0
53,10,0
55,9,0
55,9,0
57,8,0
50,15,0
52,10,0
52,18,0
53,8,0
49,12,0
51,11,0
54,12,1
51,8,0
52,9,0
54,5,1
54,6,5
56,3,2
51,4,4
49,4,6
53,3,3
53,6,4
54,3,5
55,5,1
50,6,3
57,5,4
54,5,1
55,5,0
55,8,2
52,5,6
51,6,1
54,6,2
55,7,0
54,10,1
53,6,0
55,12,0
56,10,0
55,6,0
52,7,0
56,11,0
53,7,1
54,9,1
50,4,0
54,6,0
52,8,0
54,7,1
50,7,0
51,11,0
50,7,0
51,8,0
53,9,0
49,6,1
47,4,5
52,2,5
51,2,4
60,2,2
56,3,1
54,3,5
52,1,0
53,5,2
58,2,1
53,5,6
57,1,3
51,3,1
51,3,0
55,6,1
54,9,2
54,2,0
59,5,2
53,2,0
55,8,2
52,3,6
54,4,0
59,5,1
56,5,0
59,7,0
55,7,1
58,4,0
58,10,0
57,5,0
55,8,0
58,6,0
53,5,0
58,3,0
58,9,0
61,5,0
59,7,0
59,6,0
55,7,0
61,6,0
54,8,0
59,6,0
57,6,0
61,6,0
58,9,0
61,5,0
62,5,0
57,7,0
59,6,0
60,6,0
57,4,0
55,4,0
58,4,0
57,6,0
61,5,0
54,5,1
58,1,8
56,1,6
58,1,3
55,1,5
59,1,6
56,1,9
57,1,5
53,1,6
57,1,1
53,1,0
54,3,1
60,6,1
55,4,3
