Target_ted_v1,Ensemble_an4_v1,Ensemble_librispeech_v1
36,34,36
37,34,30
37,34,36
37,35,35
36,34,30
35,34,35
37,34,32
37,34,32
37,34,31
37,35,30
36,34,29
36,34,31
36,36,28
36,33,30
34,35,27
35,34,29
33,34,26
34,33,31
34,34,24
34,32,24
35,31,29
33,30,22
34,32,25
34,33,26
34,32,29
34,32,28
34,31,23
35,31,23
34,30,23
36,29,21
35,30,27
35,30,18
35,31,17
37,29,19
33,31,24
35,31,22
34,29,17
35,29,21
35,30,23
34,28,14
37,29,20
34,29,17
33,31,16
36,28,19
33,31,18
35,30,16
36,31,21
35,29,24
36,30,19
34,30,12
36,28,14
36,29,13
35,29,17
34,27,11
36,26,9
35,26,21
36,28,8
36,27,20
36,29,11
35,27,18
37,29,9
35,28,18
36,27,13
35,28,13
34,27,11
34,28,16
34,27,13
35,28,10
34,28,10
35,27,9
33,26,18
33,26,8
34,26,14
35,28,5
34,27,11
34,27,10
35,28,8
34,26,8
35,28,10
35,24,9
36,24,13
35,26,12
35,27,14
36,26,13
35,24,7
36,27,9
35,24,9
36,23,6
35,25,9
36,23,9
37,23,13
35,24,6
34,26,11
35,25,11
35,25,7
34,26,10
33,26,6
35,25,8
35,26,13
34,23,6
34,25,8
33,22,4
34,25,7
35,24,7
34,24,9
33,24,6
34,26,2
35,24,5
34,24,11
35,21,10
32,23,2
33,22,3
35,25,3
34,23,8
32,25,2
31,22,12
33,23,3
34,25,4
35,23,4
31,23,6
33,21,3
33,24,6
32,22,11
32,22,8
33,24,6
31,22,3
32,24,5
32,21,3
32,23,5
32,22,4
33,26,11
33,22,1
34,22,6
32,25,10
31,23,5
31,20,2
31,22,4
33,20,8
32,21,7
32,24,3
32,22,4
33,21,3
33,19,5
33,22,2
33,19,10
33,20,6
34,20,7
33,20,11
34,22,7
33,21,11
34,19,5
34,19,7
33,19,3
34,21,3
35,19,4
35,20,5
34,24,1
34,21,5
34,19,2
33,16,8
34,19,4
34,17,2
34,21,5
35,16,3
34,17,2
34,17,5
33,17,4
34,20,5
35,16,6
34,16,3
35,18,2
34,17,5
33,16,10
34,17,1
35,18,4
34,18,1
35,18,1
35,23,4
34,18,1
34,23,1
34,21,0
34,22,2
34,17,0
35,25,0
34,19,0
35,22,0
34,18,0
33,22,0
33,18,0
33,20,0
33,18,0
33,20,0
33,17,0
33,20,0
33,17,0
34,20,0
32,15,0
33,20,0
32,15,0
33,18,0
34,15,7
34,13,14
33,13,9
34,14,16
34,13,4
34,12,11
34,12,3
34,14,7
34,14,4
34,12,7
33,13,6
34,13,2
34,12,5
34,13,7
32,12,3
33,12,13
34,9,4
34,11,2
34,13,7
34,11,4
34,10,9
35,11,5
35,11,5
33,10,4
35,12,3
35,13,0
35,15,4
35,10,2
34,11,7
35,7,4
34,10,2
35,10,8
35,10,2
36,12,12
35,10,4
35,8,3
34,10,1
35,13,4
34,11,2
34,10,7
34,10,4
35,8,3
33,10,3
34,7,5
35,10,5
35,7,5
35,7,4
35,9,2
35,9,2
35,9,3
