Target_ted_v1,Ensemble_an4_v1,Ensemble_librispeech_v1
43,29,43
40,28,47
38,29,41
38,27,39
37,27,38
38,27,41
36,28,40
34,27,33
35,28,26
37,28,31
37,28,29
36,27,29
40,30,33
36,29,23
36,29,27
34,28,25
35,29,28
36,28,24
35,28,24
35,28,23
38,28,24
37,28,21
35,27,23
34,27,18
35,27,21
36,28,24
35,29,22
35,28,16
33,28,23
33,29,20
35,28,21
30,27,16
35,28,25
33,28,14
40,25,23
33,29,13
36,26,22
32,28,20
36,28,15
35,27,21
36,28,16
36,28,20
32,27,12
32,26,22
33,25,14
34,26,16
33,26,14
31,25,13
32,23,15
33,25,13
35,26,7
30,24,21
34,24,9
31,25,14
31,24,13
34,22,19
33,20,18
33,21,12
36,22,18
33,21,15
35,22,6
32,21,11
33,20,15
34,21,11
36,22,7
33,20,7
33,21,11
33,20,11
32,20,9
33,18,7
33,20,5
32,19,16
33,21,3
30,18,9
31,19,11
31,19,7
30,19,10
31,19,9
29,19,5
30,19,13
32,19,12
30,19,9
29,18,11
32,19,9
30,18,7
32,19,6
34,20,21
31,20,15
34,20,10
33,19,12
32,19,9
33,19,7
32,18,2
34,20,7
32,16,5
32,19,8
31,18,8
34,19,9
32,16,12
32,17,10
33,16,9
34,17,8
35,15,6
32,18,3
34,16,6
34,18,9
34,17,7
31,18,3
32,18,6
32,17,9
31,16,9
32,16,6
32,17,4
33,15,5
32,18,8
31,15,3
32,16,5
32,16,11
31,17,7
30,15,4
31,16,6
32,16,4
31,19,6
33,16,9
32,18,10
34,15,6
33,17,10
33,14,11
33,16,9
33,16,7
31,13,4
32,15,5
32,14,6
31,17,4
33,16,2
32,20,8
30,15,2
31,16,6
33,13,9
36,14,7
34,14,7
30,14,8
32,17,3
29,15,3
31,18,0
31,19,0
30,16,0
31,16,0
30,14,0
30,16,0
30,14,0
29,15,0
32,13,0
31,15,2
30,11,7
31,11,6
29,11,5
30,12,3
33,11,10
36,12,14
32,10,5
37,11,6
34,10,2
34,12,2
36,11,7
33,9,5
35,12,7
33,10,9
36,10,3
34,11,4
34,11,10
35,13,4
36,12,12
34,11,6
37,9,6
32,12,7
33,11,5
32,10,9
33,10,6
31,10,6
30,10,2
30,10,3
34,10,7
33,9,2
34,8,4
31,9,6
35,9,6
33,8,5
36,10,3
33,11,6
35,10,4
37,9,10
33,9,5
33,9,5
37,9,6
34,8,2
36,10,4
37,10,4
36,9,3
36,9,7
40,9,14
36,8,8
36,8,1
34,9,3
35,8,5
39,8,3
39,10,8
42,9,11
40,9,5
34,10,5
33,8,16
35,8,5
37,10,8
38,9,4
35,9,3
37,9,3
36,9,6
35,8,3
35,10,5
37,8,9
38,7,3
37,9,13
36,9,5
36,10,6
38,7,2
40,9,8
40,7,0
38,14,0
40,12,2
37,9,3
37,8,2
39,10,4
39,9,3
38,7,3
39,7,4
37,8,2
35,8,1
35,10,3
39,7,0
36,13,2
35,7,1
35,12,3
36,6,1
35,12,3
34,7,3
38,8,5
36,7,9
35,6,5
37,5,7
33,6,2
