Target_ted_v1,Ensemble_an4_v1,Ensemble_librispeech_v1
55,31,53
57,31,52
52,31,47
53,31,48
52,32,47
53,32,42
53,32,45
53,32,42
53,32,40
56,31,37
58,30,41
55,31,40
56,31,40
55,31,35
57,31,37
57,31,35
57,30,35
56,29,32
58,30,33
55,32,27
53,30,34
57,31,28
58,28,32
55,29,25
56,27,26
56,26,24
55,27,21
54,26,26
56,27,28
53,26,17
55,25,23
55,25,18
56,26,22
56,25,26
55,24,23
56,26,19
57,24,13
56,24,19
56,24,15
53,24,18
54,23,18
56,23,20
51,24,19
54,23,18
51,22,19
54,22,23
54,24,17
55,23,10
56,22,11
57,22,14
55,22,13
55,22,13
53,21,13
51,22,13
52,21,16
51,20,15
50,21,11
51,22,21
50,21,19
50,21,5
52,19,12
49,22,11
52,19,11
54,20,9
49,22,11
48,20,5
50,20,10
51,19,8
51,20,11
54,21,9
52,20,10
52,20,7
51,20,20
54,19,7
52,17,11
52,18,7
54,19,21
51,18,13
51,20,16
55,19,14
54,17,9
53,19,9
52,19,8
53,18,10
52,20,10
54,15,10
53,18,9
50,18,11
52,16,5
50,18,7
51,19,13
51,16,10
52,17,5
49,16,11
51,15,4
50,18,9
51,17,12
51,17,9
50,17,10
51,16,12
53,16,7
52,17,10
51,15,9
53,17,4
49,17,4
50,19,8
52,16,3
53,19,7
46,17,4
50,20,6
50,15,13
52,16,15
52,16,10
51,15,6
51,16,9
51,16,7
48,18,6
45,17,5
50,16,4
49,17,4
48,19,18
51,16,12
50,14,12
49,15,7
48,17,8
51,15,2
48,23,0
51,21,0
50,22,0
51,19,0
51,23,0
52,19,0
53,19,0
51,16,0
54,18,0
52,17,0
54,17,0
53,15,0
55,16,0
52,14,0
55,15,0
54,12,4
55,13,8
54,12,7
54,12,10
54,13,10
54,12,9
54,12,11
53,12,4
54,12,8
54,11,4
50,10,14
54,11,4
55,12,7
55,11,14
55,12,8
52,11,6
53,12,3
53,11,7
53,13,3
54,10,7
50,11,5
51,10,3
49,14,5
50,9,5
51,13,5
53,9,8
50,11,6
51,11,4
50,11,1
51,13,3
51,11,6
51,10,7
51,8,2
48,9,2
51,11,2
50,13,6
52,11,1
52,12,2
53,9,5
52,12,6
53,10,1
53,12,3
50,7,8
53,8,7
50,9,6
51,10,7
51,9,7
51,6,8
49,8,7
52,9,5
51,7,1
53,12,4
50,7,2
51,8,8
49,10,3
52,7,8
52,9,5
51,9,6
49,8,4
49,8,1
54,9,4
50,10,2
51,8,6
47,10,2
47,7,0
50,8,3
47,7,2
51,8,5
51,8,1
49,5,3
50,7,1
49,12,2
51,9,0
51,17,0
49,10,0
52,16,0
47,11,0
52,12,0
47,10,0
53,11,0
47,10,0
51,9,0
47,9,0
50,9,0
47,9,0
50,8,0
47,8,0
50,6,0
47,8,0
50,9,0
47,6,0
51,8,0
47,5,0
51,5,0
48,5,0
50,6,0
49,5,0
50,7,0
49,5,0
50,5,0
51,3,0
50,4,0
51,2,0
50,4,0
51,3,0
52,4,0
51,2,0
50,4,0
48,2,0
