Target_ted_v2,Ensemble_an4_v2,Ensemble_librispeech_v2
40,25,33
35,24,35
39,24,32
31,24,30
36,25,29
33,23,32
36,24,26
33,24,23
37,23,30
32,21,30
34,23,26
34,23,34
33,22,26
34,25,28
31,25,25
33,26,23
30,22,25
33,21,22
31,21,23
30,22,25
34,19,26
29,22,23
30,20,17
31,22,16
30,20,22
32,20,15
33,17,15
29,19,29
29,21,24
32,19,14
33,18,15
29,21,13
31,21,15
29,19,12
31,17,9
34,18,12
28,20,16
34,20,9
30,15,7
32,15,10
35,14,9
33,15,9
34,14,10
35,13,10
35,14,10
34,16,8
37,15,13
32,17,7
31,16,3
35,16,11
33,19,5
35,16,7
37,17,5
36,16,9
34,13,7
32,15,7
34,15,6
35,15,6
31,13,5
30,12,13
32,12,9
34,11,9
32,13,7
33,10,5
36,13,9
32,12,5
34,13,10
33,12,5
35,13,4
34,10,6
31,10,3
33,16,3
33,13,5
34,10,11
37,11,10
35,7,11
35,9,9
36,9,11
34,8,9
37,8,16
36,10,4
36,13,5
36,11,5
36,10,8
33,9,5
30,10,5
34,9,9
32,9,8
35,9,4
35,13,5
33,8,11
36,10,6
36,7,3
33,9,4
35,10,6
33,8,4
35,9,8
35,7,5
33,7,5
34,8,5
36,11,2
34,10,3
34,14,1
31,14,1
33,9,4
36,7,3
36,7,1
34,11,1
34,8,3
34,8,2
36,7,7
34,7,5
32,5,2
33,6,2
30,6,4
35,6,3
33,5,5
31,6,9
33,5,2
36,8,1
34,11,1
32,6,1
32,8,10
35,6,6
30,3,3
37,4,3
36,5,2
36,5,2
39,5,0
33,8,4
38,4,0
36,12,0
37,8,0
36,8,0
37,9,0
36,9,0
37,9,0
42,10,0
35,8,0
40,7,0
38,4,1
39,3,8
38,2,4
33,2,9
36,3,3
38,2,9
38,1,4
34,1,3
35,1,4
36,2,2
35,3,0
37,5,3
38,2,2
41,1,6
42,2,1
41,2,7
45,1,4
47,2,5
44,2,7
40,3,7
45,2,7
40,2,3
38,2,9
42,2,2
38,3,2
37,1,2
41,2,6
34,2,2
39,2,2
39,3,6
39,2,1
42,3,4
41,3,5
37,3,4
40,2,2
35,5,5
35,2,1
31,5,1
34,4,6
34,2,4
32,1,3
29,3,6
34,2,1
40,4,2
32,2,1
35,8,4
34,2,4
41,1,4
38,1,3
37,2,4
37,1,2
35,2,2
36,4,10
37,2,2
36,2,6
38,2,1
38,3,7
38,2,7
35,2,10
38,1,4
38,1,8
37,2,6
36,3,3
38,4,4
37,3,3
35,2,2
35,2,5
33,1,4
37,2,1
35,3,2
35,4,4
36,3,0
34,7,4
34,2,1
36,4,0
35,7,0
36,9,0
34,7,0
35,7,0
36,7,0
35,11,0
36,6,0
33,7,0
36,4,3
33,5,2
30,3,6
35,4,3
35,2,5
35,3,3
35,3,1
34,3,5
33,2,6
38,3,5
38,2,2
35,3,1
34,2,0
32,3,3
33,2,1
34,3,1
35,1,4
37,2,6
36,2,3
34,2,4
34,3,4
35,3,4
38,2,2
38,3,5
35,3,4
36,3,3
38,1,4
