Target_an4_v1,Ensemble_librispeech_v1,Ensemble_ted_v1
29,55,53
30,54,53
30,57,50
30,54,43
31,50,47
31,49,42
31,51,41
31,51,42
31,46,39
31,36,37
31,38,36
30,47,34
31,36,34
31,36,38
32,33,32
32,39,33
33,32,32
32,31,30
33,33,33
32,32,27
33,25,29
32,31,25
34,31,28
33,28,25
33,26,26
33,32,29
33,28,25
34,28,25
32,30,23
31,27,18
31,24,24
32,25,22
31,17,19
33,27,20
31,14,16
31,25,19
32,18,17
32,23,18
32,17,19
32,17,19
32,18,20
33,13,16
32,27,13
32,15,10
32,17,15
31,27,19
31,11,13
33,17,16
33,15,15
33,17,13
32,19,11
32,16,10
33,17,17
33,15,14
33,10,11
31,10,13
32,14,11
32,9,9
32,13,8
33,9,13
33,4,14
33,12,18
31,10,9
32,13,5
33,13,8
31,19,6
33,2,4
34,4,18
33,10,12
32,6,5
31,14,13
31,11,4
31,7,8
32,12,15
31,3,9
33,10,11
31,6,6
31,9,6
31,14,7
31,5,5
32,4,15
33,6,9
31,2,10
32,0,12
33,1,15
34,0,11
34,0,14
32,3,10
32,6,8
33,6,3
34,8,5
33,21,4
33,13,3
34,9,1
34,8,4
34,4,2
34,8,5
33,0,7
34,1,15
34,0,6
33,2,17
33,1,6
32,2,5
32,7,4
32,3,1
34,7,2
33,2,0
32,4,3
33,12,0
33,7,0
33,3,0
33,7,1
33,7,0
33,5,0
32,14,0
33,4,0
32,8,0
32,9,0
32,7,0
32,4,0
32,7,1
32,9,0
33,1,0
33,2,0
33,0,11
32,0,7
33,0,7
32,0,10
32,0,12
32,0,7
32,0,8
32,0,7
32,0,4
32,0,4
32,1,4
33,1,1
32,4,0
32,10,0
32,4,1
32,3,2
33,2,1
33,3,1
33,3,1
32,5,0
33,4,0
33,5,0
34,1,0
31,4,0
33,1,0
31,2,1
31,4,0
31,2,0
31,6,0
31,3,0
31,1,0
32,4,0
32,5,0
32,2,0
31,6,0
31,2,0
32,2,0
31,5,0
31,7,0
33,8,0
31,0,0
31,1,3
33,2,5
32,5,2
33,3,2
32,1,4
32,0,2
33,5,3
32,1,0
32,2,0
33,2,1
33,3,0
33,8,1
32,3,0
32,4,0
32,5,0
32,2,0
31,3,0
32,1,0
31,4,0
32,5,0
32,2,0
33,2,0
32,8,0
32,3,0
32,4,0
32,3,0
32,9,1
32,3,3
33,0,2
32,1,4
32,0,7
32,0,1
32,0,10
33,0,2
32,0,7
32,0,4
32,0,3
33,0,2
32,0,3
32,0,4
33,0,3
33,0,4
32,0,1
32,0,1
32,0,4
31,0,1
33,0,0
33,0,2
34,0,0
33,0,0
33,6,0
33,9,0
33,6,0
33,3,0
33,4,0
33,3,0
33,9,0
33,7,0
33,1,0
33,9,0
33,1,0
33,1,0
33,8,0
33,2,0
33,9,0
33,4,0
33,4,0
33,6,0
33,8,0
33,2,0
33,4,0
33,2,0
33,2,0
33,6,0
33,6,0
33,5,0
33,1,0
33,5,0
33,1,0
33,2,0
33,3,0
33,5,0
32,3,0
33,3,0
33,2,0
