Target_an4_v1,Ensemble_librispeech_v1,Ensemble_ted_v1
34,36,37
34,34,37
34,35,35
34,30,32
34,31,31
34,28,34
35,31,35
35,30,30
34,29,31
35,30,30
36,25,31
35,32,28
35,28,30
36,27,29
35,24,28
34,25,27
34,27,27
34,28,31
34,25,29
34,25,27
34,25,27
34,27,26
35,23,21
35,25,28
33,23,23
34,23,24
34,22,22
34,19,23
34,20,29
34,26,25
34,18,20
33,20,24
33,19,17
33,23,19
33,22,23
33,23,18
34,14,20
33,20,19
35,16,22
33,18,21
34,18,24
33,17,20
34,20,17
34,17,20
34,19,16
34,17,18
33,16,19
33,20,17
33,19,20
33,13,17
33,15,15
34,16,19
33,18,13
33,18,16
33,13,17
33,16,22
34,12,22
33,12,24
33,18,19
33,16,20
33,16,15
33,17,8
33,14,16
33,14,20
33,14,13
32,12,12
32,15,16
32,13,12
32,12,11
33,11,18
33,12,16
32,16,16
33,10,15
32,9,15
32,19,16
32,7,11
32,10,19
32,9,12
32,12,8
33,10,18
32,14,15
33,11,16
32,9,11
32,11,12
32,8,16
32,7,11
32,11,11
32,9,10
32,15,7
32,18,4
32,13,3
32,9,8
32,6,10
32,8,12
32,13,14
32,5,3
32,12,6
32,12,4
32,8,3
32,8,9
32,10,5
32,14,8
32,11,4
32,8,4
32,10,4
32,6,5
32,9,10
32,16,7
32,6,7
32,6,11
32,8,9
32,5,11
32,3,14
32,7,19
32,2,13
32,8,6
32,4,4
32,1,4
32,4,8
32,13,2
32,11,2
32,9,0
32,11,2
32,8,2
32,8,1
32,7,2
32,3,2
32,6,9
32,6,0
32,6,3
32,16,1
32,7,0
32,13,0
32,7,0
32,10,0
32,7,0
33,9,2
32,4,1
32,3,8
32,6,8
33,5,6
32,4,6
33,8,5
32,5,2
33,8,2
32,6,0
32,4,3
32,5,2
32,6,2
32,2,3
32,3,2
32,11,3
32,5,0
32,6,0
32,14,0
32,5,1
32,4,3
32,10,5
32,3,1
32,5,3
32,2,2
32,6,2
32,6,1
32,4,1
32,6,2
32,3,1
32,2,6
32,1,7
32,1,9
32,6,4
32,7,1
32,2,0
32,13,0
32,5,0
32,5,0
32,5,0
32,6,0
33,3,0
34,1,1
32,3,3
33,1,1
33,0,5
32,1,9
33,0,5
32,0,7
32,0,3
33,0,4
31,0,7
32,0,3
31,0,3
33,0,8
31,0,4
33,0,6
32,0,3
31,0,2
31,0,0
31,0,8
33,0,3
32,0,6
31,0,5
32,0,6
33,0,2
32,0,4
33,1,0
33,6,0
32,4,0
31,6,0
33,5,0
31,9,0
31,3,0
32,4,0
32,7,0
33,10,0
34,2,0
33,7,0
32,4,0
32,3,0
32,10,0
32,3,0
32,9,0
32,8,0
31,7,0
33,4,0
32,6,0
32,6,0
33,3,0
32,4,0
32,3,0
33,7,0
32,4,0
32,1,0
32,4,0
32,6,0
31,6,0
32,4,0
33,4,0
33,3,0
33,5,0
33,1,0
33,2,1
32,0,5
32,2,7
34,0,3
33,0,1
32,1,3
32,4,0
32,1,0
33,3,0
32,4,0
33,8,0
