Target_an4_v2,Ensemble_librispeech_v2,Ensemble_ted_v2
29,31,33
28,33,30
29,34,36
29,32,33
31,33,35
29,30,29
29,26,32
29,35,32
29,32,27
30,30,26
30,32,31
31,30,21
32,29,20
30,31,19
31,25,23
31,29,24
31,24,22
31,25,16
31,29,21
31,28,21
31,28,21
30,22,19
30,27,13
30,28,17
30,25,12
29,24,21
30,20,16
29,26,11
29,25,17
30,25,19
30,25,11
32,24,8
29,24,12
31,23,14
30,22,14
30,17,13
30,20,17
34,17,10
32,19,8
31,19,9
33,22,7
31,22,10
31,21,8
30,18,9
30,20,3
30,21,7
30,19,11
32,17,10
31,10,11
31,12,6
31,14,12
32,17,10
32,21,10
31,9,4
30,13,8
32,20,5
31,22,5
31,16,2
31,20,9
30,17,9
30,8,9
30,9,10
31,10,4
31,11,4
31,14,6
33,15,6
34,14,7
33,8,4
33,11,9
33,17,12
33,12,1
34,14,3
34,10,2
32,13,4
32,14,5
32,13,3
30,8,4
31,5,6
30,8,5
31,10,4
30,7,1
30,9,2
30,7,2
31,12,2
30,17,5
32,6,2
31,10,4
32,12,9
30,2,6
33,1,5
32,2,4
31,2,7
31,9,3
31,12,2
32,8,1
31,9,5
31,3,3
31,8,8
33,7,2
33,7,3
32,3,4
32,0,6
32,0,12
30,2,3
30,6,8
30,9,2
34,4,0
31,9,0
34,7,0
32,5,0
34,9,0
33,4,0
34,7,0
33,10,0
32,6,2
31,4,1
34,8,0
32,8,0
32,0,0
33,4,1
34,5,2
34,3,1
33,7,2
32,7,0
32,3,1
31,6,1
33,1,3
33,3,4
34,2,1
35,7,0
35,10,0
34,2,0
34,13,0
35,8,0
35,4,1
35,2,1
36,3,1
36,3,2
36,2,4
34,0,9
34,0,1
35,1,4
36,1,2
36,5,1
35,5,1
34,5,1
33,2,3
34,2,0
33,0,0
36,5,0
35,4,0
35,6,1
35,6,0
34,7,0
34,2,1
34,0,3
34,1,4
34,1,3
35,1,9
35,0,2
33,0,4
33,2,5
35,0,0
35,2,3
35,2,0
33,6,0
34,1,0
34,3,0
36,1,0
38,4,0
37,6,0
36,2,0
36,10,0
35,0,0
36,0,2
36,0,2
35,0,1
34,0,3
34,0,9
33,0,3
34,0,3
34,0,3
34,2,1
32,5,0
32,7,2
33,5,0
35,0,0
32,8,1
34,4,0
35,1,0
36,4,1
34,3,1
33,3,0
33,5,1
34,5,0
33,3,0
33,5,1
31,0,4
33,0,7
35,0,5
35,0,3
32,0,7
34,0,3
34,0,2
33,0,3
33,0,7
31,0,1
33,0,1
32,0,0
33,1,6
31,0,1
31,0,3
32,0,6
31,0,3
31,2,1
33,3,0
32,5,0
32,4,0
34,1,0
33,3,0
33,4,0
32,1,1
32,4,3
31,1,0
32,4,0
31,2,0
31,5,0
31,4,0
32,11,0
32,4,2
33,3,0
33,1,0
32,1,0
31,1,0
33,1,0
33,3,1
32,2,0
32,2,0
32,3,0
33,2,0
33,3,0
34,2,0
32,2,0
34,2,0
33,1,3
33,0,2
34,0,3
34,2,1
33,1,1
32,1,2
