Target_librispeech_v1,Ensemble_an4_v1,Ensemble_ted_v1
55,38,46
54,38,41
53,37,40
51,39,36
52,37,40
53,36,30
51,33,30
51,34,29
53,31,28
52,33,24
52,29,25
52,32,27
52,27,23
53,31,25
53,28,20
53,28,19
56,29,20
54,28,17
55,28,19
56,26,14
54,27,19
53,25,9
53,26,17
54,25,8
54,23,13
53,26,15
55,25,15
54,24,7
54,25,12
54,22,8
56,24,10
53,23,7
53,24,8
54,25,12
54,23,7
53,25,11
52,24,10
52,22,12
54,24,10
54,24,6
56,25,11
53,21,6
52,25,14
52,21,4
52,22,7
50,19,3
54,25,6
53,23,4
53,22,4
53,23,5
53,22,5
52,20,3
53,21,2
53,25,4
52,22,1
53,19,2
52,22,3
51,20,5
51,20,2
52,19,3
51,19,3
51,16,3
52,20,3
52,18,2
50,20,1
52,20,3
48,19,0
52,17,2
53,19,4
50,17,1
50,20,1
51,16,1
48,19,4
51,13,2
49,18,4
49,14,7
51,18,6
51,13,9
48,16,8
49,14,7
49,18,3
50,19,4
51,19,0
52,18,1
53,17,3
53,16,0
50,17,6
53,13,2
52,15,3
51,13,1
50,17,5
50,9,5
50,14,2
51,12,3
49,18,3
50,11,0
52,16,1
53,12,2
52,13,1
51,11,0
52,12,1
51,11,2
53,13,0
52,14,0
52,14,0
51,14,1
52,11,0
51,15,1
50,10,0
50,13,1
49,10,1
51,8,0
52,14,0
51,12,0
51,12,0
52,12,0
50,11,0
52,11,0
51,12,0
50,14,0
50,11,0
52,11,0
51,11,0
51,8,1
48,10,0
51,8,3
52,8,11
52,7,1
55,6,4
52,5,0
52,7,2
54,6,8
53,4,4
51,6,2
51,5,7
55,5,8
54,5,2
51,3,6
55,5,6
52,3,5
53,4,6
53,6,2
53,6,7
49,6,3
49,8,4
51,5,1
51,9,4
51,6,3
50,4,4
50,4,4
51,7,9
51,5,3
51,5,2
53,7,1
53,9,6
50,6,1
53,12,0
51,9,0
51,11,0
50,8,0
51,10,0
50,7,0
52,9,0
49,7,0
51,8,0
50,5,0
49,7,1
54,5,1
54,4,3
55,4,4
51,4,7
51,3,4
50,3,7
50,3,0
51,3,1
53,4,2
47,4,2
52,3,4
48,2,3
53,1,0
52,5,1
50,5,1
52,5,2
52,5,0
53,6,0
52,5,1
53,5,4
53,3,0
52,6,2
56,4,0
51,9,0
54,5,0
51,7,0
54,4,0
51,6,0
51,2,0
53,5,0
51,3,0
52,7,0
52,5,0
57,4,0
53,2,0
54,3,0
53,5,0
54,5,0
52,5,0
55,3,0
53,4,0
53,7,0
56,4,0
52,5,0
55,4,0
52,4,0
53,1,1
51,3,0
54,2,0
52,4,0
54,3,0
49,5,0
52,3,0
51,5,0
53,3,0
51,4,0
52,2,0
51,3,0
53,3,0
52,3,2
55,1,2
52,2,1
51,0,0
51,1,2
50,0,7
51,0,3
52,0,3
51,0,7
54,0,3
52,0,8
51,0,2
53,0,1
53,1,2
53,1,4
52,1,2
55,0,5
53,0,2
53,0,0
52,2,4
54,1,4
53,1,1
51,3,0
52,3,0
