Target_librispeech_v1,Ensemble_an4_v1,Ensemble_ted_v1
49,26,35
48,26,28
48,27,30
47,27,27
49,27,21
50,26,20
49,27,18
50,26,21
48,25,20
50,26,21
48,24,19
47,26,14
47,26,17
45,26,11
45,27,14
48,25,20
44,26,11
45,25,15
44,27,9
45,24,9
45,24,8
46,24,8
44,25,13
47,26,5
45,25,5
47,24,3
45,24,5
47,24,5
45,24,4
49,25,7
43,23,3
48,23,1
46,21,3
46,23,4
47,22,9
46,24,8
45,22,8
49,25,8
45,21,2
47,22,2
42,19,5
45,22,3
45,19,5
46,23,1
45,19,4
45,21,2
46,17,4
45,20,3
46,17,3
46,19,0
42,16,2
45,19,1
46,16,0
46,19,2
45,15,6
47,15,2
49,16,2
43,17,1
45,16,1
48,18,0
45,16,0
48,17,0
46,16,0
48,17,1
46,14,1
47,15,0
44,16,0
45,15,0
46,14,0
48,13,0
46,13,0
48,15,0
48,12,0
48,14,0
45,11,0
47,15,0
46,12,2
45,14,3
45,9,7
46,10,5
46,9,1
44,9,1
47,9,5
46,11,9
42,11,6
44,8,8
45,7,3
45,12,4
44,9,0
43,12,1
46,10,0
43,12,2
44,8,1
44,10,0
44,12,0
44,12,0
45,14,0
45,11,0
43,12,0
45,9,0
43,10,0
45,10,0
43,11,0
46,9,0
44,11,0
44,9,0
44,9,0
44,7,2
44,7,0
45,8,3
46,7,5
45,6,4
44,6,4
46,5,1
46,7,1
46,4,1
45,7,0
45,8,0
46,8,0
45,8,0
44,10,0
45,7,0
43,9,0
44,8,0
45,7,0
44,7,0
45,8,0
44,6,0
44,7,0
44,6,0
46,7,0
43,6,0
43,7,0
45,3,4
44,5,5
44,2,1
46,5,2
42,4,2
42,5,0
43,3,5
42,5,0
46,6,1
44,5,0
41,7,0
43,8,1
42,5,0
44,4,6
43,2,0
42,5,0
42,3,1
43,5,3
43,2,1
44,6,1
40,4,4
42,4,2
43,3,1
42,3,1
39,3,1
40,3,1
41,5,2
42,4,1
41,6,0
42,4,0
43,6,0
41,5,3
42,2,0
43,5,0
42,4,1
43,5,0
40,5,0
43,7,0
40,4,0
41,5,1
42,3,0
42,4,0
43,4,0
41,4,0
41,3,0
41,4,0
41,4,0
42,5,0
40,4,0
41,5,0
41,3,0
41,5,0
42,3,0
41,4,1
43,2,1
40,5,0
42,2,2
41,2,0
40,2,3
41,2,0
40,2,1
41,3,1
41,3,0
41,7,0
42,6,0
42,4,0
44,6,0
42,5,0
42,3,0
41,5,0
44,4,0
41,4,0
44,3,0
42,4,0
43,3,0
42,3,0
43,3,0
43,3,0
43,3,0
44,3,0
43,4,0
44,4,0
44,4,0
44,4,0
44,3,0
45,4,0
42,3,0
45,3,0
41,3,0
47,4,0
41,3,0
46,4,0
44,3,0
46,3,0
41,3,0
46,3,0
43,3,0
44,3,0
45,3,0
45,3,0
45,3,0
44,3,0
44,3,0
45,3,0
43,3,0
45,3,0
43,4,0
45,2,0
44,4,0
44,3,0
43,4,0
44,4,0
43,5,0
45,2,0
44,3,0
42,2,0
44,3,0
