Target_librispeech_v2,Ensemble_an4_v2,Ensemble_ted_v2
28,28,32
28,28,35
31,28,28
29,27,30
33,28,35
31,29,34
33,29,30
30,27,31
33,30,31
31,26,26
32,27,24
37,25,30
36,26,22
34,27,29
31,24,17
36,26,24
32,25,25
29,25,28
31,23,24
34,23,22
32,25,20
32,24,18
37,24,23
31,23,16
33,25,20
32,23,18
34,24,19
32,22,14
33,23,15
32,21,15
36,23,13
34,24,15
34,22,11
31,23,12
35,21,14
36,23,10
31,23,14
32,21,12
29,19,16
28,20,9
32,21,11
32,24,6
31,21,5
29,22,7
30,21,7
32,18,11
29,18,14
30,16,6
33,22,4
32,21,4
35,22,2
33,20,4
30,20,9
37,14,4
34,20,6
34,15,8
31,16,5
28,19,7
32,19,8
33,15,12
30,17,6
31,18,5
33,18,5
31,18,6
34,13,6
34,18,5
32,17,9
35,10,3
34,17,9
32,16,11
30,16,3
32,17,6
30,20,4
31,13,2
30,19,1
33,21,2
30,16,1
33,12,4
32,16,8
30,11,3
32,16,3
33,13,0
34,16,3
33,13,1
34,17,0
35,14,1
35,16,0
34,15,1
38,19,0
32,13,0
33,15,2
37,14,1
35,12,3
30,10,6
30,10,7
31,9,2
35,8,2
37,8,4
32,9,12
35,7,10
33,8,3
32,12,4
32,14,6
28,10,6
32,7,4
34,13,8
36,9,7
31,8,3
33,12,3
33,12,4
32,13,3
33,9,5
33,9,8
32,7,8
36,6,2
33,10,2
31,12,5
32,10,5
34,10,5
38,16,6
34,14,8
34,10,2
36,14,3
31,10,3
34,8,2
32,12,4
36,12,0
36,19,1
31,9,7
37,7,8
34,6,4
36,9,3
36,10,2
34,11,7
37,6,3
37,7,4
36,7,3
34,7,3
32,8,2
31,10,0
32,25,0
34,11,0
31,14,0
36,14,0
34,12,1
31,15,4
33,7,3
33,8,4
34,10,5
35,5,3
42,6,9
38,4,4
31,5,8
35,5,4
34,6,0
36,11,1
33,13,2
31,12,1
29,11,2
36,11,0
36,10,0
36,14,0
37,11,0
37,13,0
38,11,1
42,10,0
39,14,0
36,13,0
38,9,0
38,9,0
32,9,0
34,9,1
35,11,0
34,11,1
34,6,1
31,6,0
36,7,1
35,4,0
34,12,0
36,10,0
34,8,0
36,7,0
39,10,0
35,12,0
35,5,0
34,14,0
35,6,0
35,15,0
34,7,0
34,14,0
34,5,0
36,5,6
35,5,1
33,5,3
35,4,4
39,2,3
37,0,4
35,2,2
35,4,4
33,2,1
34,3,5
32,3,0
30,6,6
29,2,5
32,3,0
30,7,2
35,3,0
32,7,0
34,11,0
29,5,0
31,9,0
33,9,0
33,10,0
31,9,0
30,9,1
33,5,0
32,6,0
33,8,0
34,5,0
33,7,0
34,8,0
34,4,0
35,9,0
32,6,1
35,5,0
35,5,1
34,4,2
36,2,1
36,4,1
34,4,5
37,1,6
34,0,3
38,1,5
34,1,2
39,1,4
39,2,3
36,2,3
40,2,2
37,5,0
36,5,0
33,7,1
36,3,0
36,12,0
36,8,0
37,7,0
35,8,0
38,6,0
37,4,2
37,3,3
32,1,4
