Target_ted_v1,Ensemble_an4_v1,Ensemble_librispeech_v1
56,30,55
53,30,51
53,30,48
53,31,49
53,31,44
53,30,43
53,30,44
54,30,43
54,31,41
51,29,42
50,30,41
53,31,44
50,31,42
51,31,42
51,30,41
49,31,38
50,31,39
48,29,32
48,29,30
48,27,33
49,29,35
45,28,34
46,30,35
49,29,44
51,28,28
51,27,36
50,27,34
51,28,27
50,29,28
53,28,25
48,29,28
51,28,26
51,29,35
48,29,26
48,27,28
53,27,21
51,28,20
53,25,23
53,26,33
51,25,21
52,26,21
51,25,20
50,26,26
54,26,27
55,25,17
51,26,22
47,26,21
49,26,20
52,26,24
50,25,24
51,25,20
49,26,18
50,26,22
48,26,22
48,26,20
49,25,14
48,25,16
52,25,19
48,26,19
49,26,20
49,25,14
50,26,15
44,23,12
50,26,19
48,23,11
48,24,18
50,24,16
49,24,18
49,26,24
51,23,12
52,23,20
47,25,13
50,26,10
47,21,15
44,24,8
49,21,11
47,21,14
44,23,7
47,21,10
49,22,12
49,23,20
45,21,8
48,21,9
47,21,8
49,20,13
45,19,9
45,19,10
48,19,9
48,18,15
47,19,8
49,18,8
46,19,7
44,18,11
47,20,9
48,20,6
50,20,3
45,22,3
45,20,9
43,21,14
45,20,3
45,21,9
45,21,10
45,19,6
46,21,6
45,17,9
45,21,10
49,19,7
47,18,3
47,19,11
48,17,11
47,17,6
49,17,9
50,17,14
48,19,4
48,15,5
48,20,6
48,17,7
48,18,9
47,16,10
44,19,6
45,17,8
47,18,6
46,16,3
44,16,9
49,16,2
45,15,4
46,20,10
45,16,2
45,22,5
44,15,5
44,17,13
44,14,3
45,16,7
47,14,3
44,14,4
45,15,6
48,13,6
52,18,0
49,21,4
49,15,3
46,15,5
50,14,4
49,17,4
50,12,5
48,15,8
51,12,5
50,14,3
51,14,3
46,14,3
50,15,6
48,12,4
50,13,1
50,16,6
50,13,4
45,15,10
48,12,4
45,12,4
45,12,2
45,13,6
52,12,7
49,12,6
47,15,6
49,12,6
52,14,3
46,15,5
44,15,4
49,17,5
49,15,4
46,14,1
49,20,1
47,16,1
46,18,1
43,13,3
46,15,3
48,11,3
46,16,3
46,12,2
44,16,4
45,11,7
45,12,7
47,11,5
47,15,3
44,17,5
46,12,2
45,15,5
44,11,1
48,14,2
45,14,5
45,14,5
47,13,2
44,13,4
45,12,6
44,12,7
44,11,3
42,11,1
45,16,4
44,13,0
40,16,0
44,16,0
44,16,0
45,18,0
44,17,0
45,16,0
45,16,0
47,17,0
45,15,0
46,14,0
45,12,0
47,15,0
45,15,0
47,13,0
44,13,0
45,13,0
46,12,0
45,15,0
44,13,0
44,10,1
42,10,3
43,8,8
45,8,4
46,8,9
46,8,9
44,7,6
43,7,6
43,8,8
43,8,5
45,8,4
45,8,10
45,7,7
45,7,3
43,7,5
40,8,3
42,8,12
43,9,1
41,7,5
41,8,3
38,8,7
40,7,5
43,7,7
41,7,6
45,9,4
45,9,7
47,9,8
47,8,7
46,7,2
45,7,8
45,7,5
47,10,6
45,7,3
45,7,3
