Target_ted_v2,Ensemble_an4_v2,Ensemble_librispeech_v2
59,32,55
55,32,54
54,31,56
55,30,53
60,28,53
56,26,54
57,33,49
61,26,48
56,27,46
57,24,51
61,25,43
58,23,44
55,24,47
67,22,43
60,21,43
56,19,42
59,21,39
58,19,36
58,18,37
55,20,44
55,20,43
54,18,42
59,20,37
56,22,40
62,21,42
63,22,38
58,19,40
55,19,39
54,19,31
56,20,29
54,20,27
55,18,36
61,19,34
57,18,41
68,19,31
59,18,28
60,19,26
59,21,35
56,16,34
57,18,32
59,21,29
55,18,26
53,16,31
54,17,30
53,18,26
59,18,29
57,16,31
57,16,25
63,15,24
59,15,26
58,15,31
55,16,22
59,16,23
59,16,26
59,17,24
59,18,24
53,14,15
61,18,21
53,14,22
51,13,9
61,14,23
55,14,14
52,11,16
58,12,19
56,13,18
62,14,21
64,11,9
58,17,22
61,10,18
67,12,10
61,12,11
59,10,17
64,11,9
63,15,12
63,12,10
63,12,16
57,12,12
68,11,16
59,10,20
63,11,7
54,13,5
55,14,11
56,9,13
57,13,13
55,10,5
64,13,9
53,10,6
60,14,17
60,11,15
62,8,5
62,9,7
59,9,15
64,9,11
61,7,9
61,7,10
61,10,17
63,7,10
64,6,9
56,7,7
62,11,13
65,7,8
63,10,6
61,7,10
60,8,14
65,9,10
57,7,10
66,7,16
68,6,8
62,7,14
63,6,13
62,4,7
60,6,13
61,7,5
58,6,10
61,11,3
67,15,5
66,14,8
67,5,3
63,7,8
60,5,3
62,7,13
56,6,8
61,5,12
57,7,4
54,8,6
57,8,5
57,6,8
54,6,5
55,5,5
55,5,6
65,7,2
64,17,4
70,10,3
61,12,3
66,13,4
67,10,3
62,8,1
64,9,3
64,11,3
62,4,1
64,6,7
63,4,5
63,5,5
69,3,7
63,4,8
67,3,9
66,3,12
63,4,7
67,6,9
67,3,4
68,5,5
64,4,6
66,7,7
69,5,0
70,13,3
65,12,5
70,8,4
68,8,1
73,11,2
67,13,5
68,7,6
69,7,6
70,3,9
67,3,8
68,4,7
69,4,2
70,4,5
73,4,9
66,5,5
69,6,6
68,5,8
65,5,3
58,4,2
66,8,2
67,9,2
62,7,1
65,8,3
61,8,2
59,6,6
60,6,8
59,4,4
67,5,6
59,3,3
59,4,4
62,7,0
60,6,8
64,3,5
64,2,3
63,5,3
67,6,4
63,6,5
62,5,2
61,4,3
66,4,10
63,3,1
64,5,11
66,3,9
65,3,5
67,2,6
68,3,3
65,4,4
68,4,5
66,3,3
70,7,4
63,2,3
64,5,6
65,5,1
65,10,1
65,13,1
68,9,0
69,11,0
66,7,0
66,13,0
65,12,0
67,10,0
63,7,0
67,10,0
62,12,0
68,8,0
67,13,0
65,6,0
67,11,0
67,6,0
61,5,0
66,5,0
62,11,0
62,4,0
61,11,0
63,7,0
55,6,0
62,6,0
57,5,0
65,3,0
64,7,1
63,3,3
62,1,8
59,1,8
60,1,8
64,1,6
59,1,9
58,1,7
59,1,4
66,1,2
62,1,14
65,1,5
65,1,12
63,1,7
71,1,2
66,1,9
66,1,2
