Target_ted_v2,Ensemble_an4_v2,Ensemble_librispeech_v2
50,29,49
50,31,48
51,34,50
51,32,50
50,32,47
47,32,42
44,29,42
43,26,47
44,24,41
48,26,38
49,26,39
46,24,37
42,25,38
46,26,38
42,28,33
45,24,38
44,23,39
42,25,38
41,23,30
44,23,33
42,24,37
43,22,32
41,23,26
40,22,30
41,24,29
40,24,30
41,23,37
44,22,28
39,21,36
44,21,28
45,22,22
45,21,24
45,22,32
44,24,29
41,21,23
41,22,28
46,28,23
46,22,31
43,21,21
42,27,27
47,22,14
48,21,24
47,22,26
49,22,22
47,22,25
50,24,22
51,23,26
48,22,25
45,26,23
48,23,24
54,23,17
45,20,23
46,19,16
45,24,23
42,22,18
39,24,14
40,23,20
42,20,15
42,26,15
47,20,12
45,21,18
44,20,15
43,19,22
42,19,17
44,21,17
42,21,9
41,19,11
43,18,18
48,20,20
51,18,15
50,18,16
45,18,10
48,20,17
49,20,16
50,16,14
48,22,14
51,20,13
49,19,8
51,20,8
52,20,15
47,22,9
47,20,10
49,17,15
50,16,13
43,13,6
51,16,8
48,16,9
54,15,9
53,17,11
50,19,10
54,18,16
51,20,12
48,15,9
48,18,9
49,19,7
51,16,13
52,17,8
53,15,9
50,15,10
54,15,7
54,16,10
52,16,5
52,13,4
53,17,7
54,15,6
51,17,3
52,18,7
49,14,2
53,16,9
50,14,15
51,12,18
46,9,6
54,12,12
52,13,6
50,13,16
46,11,8
48,13,15
49,8,13
49,10,9
40,11,7
45,8,13
47,9,8
47,11,12
48,6,7
46,12,3
50,13,12
48,8,6
48,10,9
45,8,8
51,12,9
47,8,8
42,9,6
48,12,11
46,9,7
48,9,4
49,15,7
45,17,6
42,13,3
43,12,2
40,10,9
43,8,4
49,9,6
48,8,5
48,13,1
48,15,7
46,10,3
44,12,1
46,11,1
52,18,5
51,10,6
52,8,3
53,7,2
57,12,6
56,9,6
55,8,10
54,5,19
50,7,6
51,7,5
55,10,4
53,11,2
52,9,4
56,9,5
54,10,3
55,13,8
52,6,11
51,5,7
51,5,9
51,6,12
48,3,7
54,7,6
50,8,13
50,7,7
54,8,10
53,8,6
56,6,6
50,5,4
54,6,3
53,10,2
58,8,3
50,8,5
55,6,2
49,10,7
48,9,3
48,8,3
52,12,2
48,11,5
52,8,2
56,7,1
53,12,1
53,9,3
48,6,2
49,5,5
54,5,11
51,4,5
51,5,4
51,6,5
52,8,3
56,7,1
53,10,1
54,9,3
49,5,3
53,5,1
52,10,0
51,10,1
48,6,3
50,8,3
47,5,3
52,6,1
50,4,1
49,6,3
49,5,1
49,7,4
51,5,2
51,5,5
49,5,1
50,9,2
52,6,3
48,7,1
47,9,2
50,6,3
47,5,8
51,3,3
50,3,9
48,5,9
60,3,5
53,3,6
53,2,4
51,5,2
52,8,3
48,6,4
48,6,2
49,10,5
50,7,7
51,4,5
49,2,5
52,3,5
52,2,14
54,1,7
52,1,6
50,3,2
52,6,7
46,2,4
49,7,0
51,11,1
51,7,2
50,7,1
51,6,6
52,4,5
49,3,6
50,3,1
